,alcoholic,drink,glass,ingredients,ingredients_and_quantities,instructions
198,Alcoholic,Jackhammer,Collins Glass,"Amaretto, Jack Daniels, ","Amaretto - 1 oz , Jack Daniels - 1 oz , ","Serve over ice- Warning,Deadly!"
199,Alcoholic,Jelly Bean,Cordial glass,"Anis, Blackberry brandy, ","Anis - 1 oz , Blackberry brandy - 1 oz , ",mix equal parts in pony glass-tastes just like a jelly bean!
200,Alcoholic,Jello shots,Shot glass,"Water, Jello, Vodka, ","Water - 3 cups , Jello - 3 packages , Vodka - 2 cups , ","Boil 3 cups of water then add jello. Mix jello and water until jello is completely disolved. Add the two cups of vodka and mix together. Pour mixture into plastic shot glasses and chill until firm. Then, eat away..."
201,Alcoholic,Jamaica Kiss,Hurricane glass,"Milk, Ice, Light rum, Coffee liqueur, ","Milk, Ice - cubes, Light rum - 1 shot Jamaican , Coffee liqueur - 1 shot , ",Fill a tumbler with ice cubes. Add a shot of Tia Maria and a shot of Jamaican light rum. Fill the tumbler with milk. Blend until smooth and serve immediately.
202,Alcoholic,John Collins,Collins glass,"Orange, Maraschino cherry, Club soda, Sugar, Lemon juice, Bourbon, ","Orange - 1 , Maraschino cherry - 1 , Club soda - 3 oz , Sugar - 1 tsp superfine , Lemon juice - 1 oz , Bourbon - 2 oz , ",Pour all ingredients directly into highball glass filled with ice. Stir gently. Garnish. Add a dash of Angostura bitters.
203,Alcoholic,Japanese Fizz,Highball glass,"Carbonated water, Egg white, Port, Powdered sugar, Lemon, Blended whiskey, ","Carbonated water, Egg white - 1 , Port - 1 tblsp, Powdered sugar - 1 tsp , Lemon - Juice of 1/2 , Blended whiskey - 1 1/2 oz , ","Shake all ingredients (except carbonated water) with ice and strain into a highball glass over two ice cubes. Fill with carbonated water, stir, and serve."
204,Alcoholic,Jamaican Coffee,Champagne flute,"Whipped cream, Water, Coffee, Rum, ","Whipped cream, Water - 1/2 glass cold , Coffee - 1/6 glass strong black , Rum - 1/6 glass , ","Stir the rum, coffee and water together. Top with the whipped cream. Sprinkle with a pinch of well ground coffee and drink with a straw."
205,Non alcoholic,Just a Moonmint,Highball Glass,"Mint syrup, Chocolate syrup, Milk, ","Mint syrup, Chocolate syrup, Milk - 2 cups , ","Place all ingredients in the blender jar - cover and whiz on medium speed until well blended. Pour in one tall, 2 medium or 3 small glasses and drink up."
206,Alcoholic,Jewel Of The Nile,Cocktail glass,"Yellow Chartreuse, Green Chartreuse, Gin, ","Yellow Chartreuse - 1/2 oz , Green Chartreuse - 1/2 oz , Gin - 1 1/2 oz , ","In a mixing glass half-filled with ice cubes, combine all of the ingredients. Stir well. Strain into a cocktail glass."
207,Alcoholic,Jack Rose Cocktail,Cocktail glass,"Lime, Grenadine, Apple brandy, ","Lime - Juice of 1/2 , Grenadine - 1 tsp , Apple brandy - 1 1/2 oz , ","Shake all ingredients with ice, strain into a cocktail glass, and serve."
208,Alcoholic,Jack's Vanilla Coke,Old-fashioned glass,"Coca-Cola, Vanilla extract, Tennessee whiskey, Ice, ","Coca-Cola - 10-12 oz , Vanilla extract - 1 tsp , Tennessee whiskey - 2 oz , Ice - 4-5 , ","After pouring in your ingredients, and adding 3-5 ice cubes, according to taste. Stir the drink with a stirrer to get the Vanilla off the bottom."
209,Alcoholic,Kir,Wine Glass,"Champagne, Creme de Cassis, ","Champagne - 5 parts , Creme de Cassis - 1 part , ","Add the cr�me de cassis to the bottom of the glass, then top up with wine."
210,Alcoholic,Karsk,Highball glass,"Grain alcohol, Coffee, ","Grain alcohol - 2 parts , Coffee - 1 part , ","Put a copper coin in a coffe-cup and fill up with coffee until you no longer see the coin, then add alcohol until you see the coin. Norwegian speciality."
211,Alcoholic,Kamikaze,Cocktail glass,"Lime juice, Triple sec, Vodka, ","Lime juice - 1 oz , Triple sec - 1 oz , Vodka - 1 oz , ","Shake all ingredients together with ice. Strain into glass, garnish and serve."
212,Alcoholic,Kir Royale,Champagne Flute,"Champagne, Creme de Cassis, ","Champagne - 5 parts , Creme de Cassis - 1 part , ","Pour Creme de cassis in glass, gently pour champagne on top"
213,Alcoholic,Kiwi Lemon,Highball glass,"Ice, Bitter lemon, Kiwi liqueur, ","Ice - cubes, Bitter lemon - 2 parts , Kiwi liqueur - 1 part , ",Mix in highball glass. Stirr. Garnish with slice of kiwi.
214,Alcoholic,Kurant Tea,Champagne flute,"Sugar, Tea, Absolut Kurant, ","Sugar -  (if needed)
, Tea - Turkish apple , Absolut Kurant - 4 cl , ","Pour Absolut Kurant into a comfortably big tea-cup. Add the not too hot(!) apple tea and, if you like, some sugar. Enjoy!"
215,Alcoholic,Kioki Coffee,Coffee mug,"Coffee, Brandy, Kahlua, ","Coffee, Brandy - 1/2 oz , Kahlua - 1 oz , ",Stir. Add whipped cream to the top.
216,Alcoholic,Kiwi Martini,Cocktail glass,"Kiwi, Vodka, Sugar Syrup, Kiwi, ","Kiwi - Garnish with, Vodka - 1 1/2 oz, Sugar Syrup - 1 tsp, Kiwi - 1/2, ","The kiwi martini is a very fun vodka cocktail and it is one of the best drinks that makes use of fresh fruit. Though there are a few recipes floating around, this is one of the easiest and it is an absolutely delightful green martini to drink.



For this recipe, you'll simply muddle slices of kiwi with simple syrup, then shake it with vodka. It's a drink that anyone can mix up in minutes and a perfect cocktail to show off your favorite vodka."
217,Alcoholic,Kiss me Quick,Highball glass,"Ice, Apple juice, Schweppes Russchian, Apfelkorn, Cranberry vodka, ","Ice - cubes, Apple juice - 8 cl , Schweppes Russchian - 7 cl , Apfelkorn - 2 cl , Cranberry vodka - 4 cl , ",mix in the glass
218,Alcoholic,Kool-Aid Shot,Old-fashioned glass,"Cranberry juice, Triple sec, Sloe gin, Amaretto, Vodka, ","Cranberry juice, Triple sec - 1 shot , Sloe gin - 1 shot , Amaretto - 1 shot , Vodka - 1 shot , ",Pour into a large glass with ice and stir. Add a little cranberry juice to taste.
219,Alcoholic,Kool First Aid,Shot glass,"Kool-Aid, 151 proof rum, ","Kool-Aid - 1/2 tsp Tropical , 151 proof rum - 2 oz light , ","Add Kool Aid to a double shot glass, and top with rum. Slam and shoot."
220,Alcoholic,Kentucky B And B,Brandy snifter,"Benedictine, Bourbon, ","Benedictine - 1/2 oz , Bourbon - 2 oz , ",Pour the bourbon and Benedictine into a brandy snifter.
